Date,Open,High,Low,Close,Adj Close,Volume
2024-04-10,88.919998,89.739998,88.570000,89.739998,89.630409,54065
2024-04-11,89.900002,91.040001,89.550003,90.550003,90.439423,132904
2024-04-12,90.800003,90.889999,89.790001,89.830002,89.720306,65084
2024-04-15,91.199997,92.099998,89.269997,89.309998,89.200935,80036
2024-04-16,89.480003,91.570000,89.480003,91.199997,91.088623,147509
2024-04-17,91.470001,91.470001,89.660004,90.339996,90.229675,108307
2024-04-18,90.339996,90.339996,88.349998,88.510002,88.401917,87296
2024-04-19,88.650002,88.650002,86.099998,86.370003,86.264526,125985
2024-04-22,86.550003,87.379997,85.599998,86.599998,86.494247,181685
2024-04-23,87.320000,87.550003,86.779999,87.290001,87.183403,75192
2024-04-24,87.820000,88.500000,87.389999,87.449997,87.343208,64422
2024-04-25,86.000000,90.050003,83.629997,90.050003,89.940033,328891
2024-04-26,90.050003,90.050003,90.050003,90.050003,89.940033,0
2024-04-29,86.519997,86.519997,85.029999,85.830002,85.725189,117257
2024-04-30,86.000000,86.559998,84.669998,84.669998,84.566605,136425
2024-05-02,85.010002,85.290001,84.050003,84.720001,84.616547,203506
2024-05-03,84.820000,86.089996,84.750000,86.080002,85.974884,149213
2024-05-06,86.500000,87.389999,85.949997,87.389999,87.283279,126024
2024-05-07,87.379997,87.379997,86.300003,86.300003,86.194618,62172
2024-05-08,86.790001,87.500000,86.519997,86.940002,86.833832,59839
2024-05-09,87.639999,88.680000,87.629997,88.489998,88.381935,81091
2024-05-10,88.660004,89.239998,88.269997,89.239998,89.131020,65125
2024-05-13,89.419998,89.440002,87.760002,88.620003,88.511780,122140
2024-05-14,88.290001,89.250000,87.839996,89.230003,89.121040,237373
2024-05-15,89.480003,90.809998,89.349998,90.419998,90.419998,117203
2024-05-16,90.290001,90.959999,89.849998,89.849998,89.849998,124268
2024-05-17,90.080002,90.889999,89.019997,89.110001,89.110001,62571
2024-05-20,89.800003,91.080002,89.540001,90.919998,90.919998,139549
2024-05-21,90.529999,92.160004,90.150002,91.269997,91.269997,111175
2024-05-22,91.900002,92.959999,91.849998,92.330002,92.330002,135999
2024-05-23,92.809998,92.959999,91.449997,91.809998,91.809998,124515
2024-05-24,91.769997,92.889999,91.160004,92.750000,92.750000,182412
2024-05-27,92.940002,95.440002,92.750000,94.629997,94.629997,163743
2024-05-28,92.489998,92.489998,91.459999,92.419998,92.419998,299204
2024-05-29,92.239998,93.610001,92.160004,93.230003,93.230003,207356
2024-05-31,90.940002,90.959999,88.330002,90.500000,90.500000,227682
